w,M1,P1,M2,P2
1.000000000000000056e-01,9.998000599800070665e-02,8.885423716182489784e+01,1.999900007499375354e+00,-5.729386976834860423e-01
1.206792640639328534e-01,1.206441292012719047e-01,8.861738593290392885e+01,1.999854381057450947e+00,-6.914076875131164313e-01
1.456348477501243632e-01,1.455731101581389242e-01,8.833161927522969847e+01,1.999787938643490914e+00,-8.343672275501090585e-01
1.757510624854791981e-01,1.756425894831913359e-01,8.798687000109704570e+01,1.999691187179098550e+00,-1.006875751682975162e+00
2.120950887920190486e-01,2.119045268272720939e-01,8.757102549005865910e+01,1.999550308445455560e+00,-1.215033174676169114e+00
2.559547922699536016e-01,2.556200833711979037e-01,8.706953212261429087e+01,1.999345193162574974e+00,-1.466192808645510715e+00
3.088843596477480746e-01,3.082966310209203642e-01,8.646493844770290593e+01,1.999046586704916528e+00,-1.769214493112029274e+00
3.727593720314940073e-01,3.717277753064663903e-01,8.573637961005829311e+01,1.998611950854274566e+00,-2.134765496219173109e+00
4.498432668969445380e-01,4.480336489331032124e-01,8.485901704521930355e+01,1.997979476368707763e+00,-2.575675629911032605e+00
5.428675439323858987e-01,5.396958406286100907e-01,8.380346877196446087e+01,1.997059446176719266e+00,-3.107351796605866578e+00
6.551285568595507369e-01,6.495764064513724900e-01,8.253530322450349388e+01,1.995721832036724042e+00,-3.748253838580959840e+00
7.906043210907697238e-01,7.809024462056485261e-01,8.101473283082852106e+01,1.993778598326026108e+00,-4.520426347300044334e+00
9.540954763499939206e-01,9.371856618010296902e-01,7.919674419042632962e+01,1.990958698707646413e+00,-5.450067070997004492e+00
1.151395399326446967e+00,1.122029916081837664e+00,7.703204969186491269e+01,1.986873260114067730e+00,-6.568086970329097163e+00
1.389495494373137463e+00,1.338761900857575071e+00,7.446943595436759722e+01,1.980968168895337111e+00,-7.910572492375494313e+00
1.676832936811007313e+00,1.589810993664723338e+00,7.146026802211957829e+01,1.972461705927155196e+00,-9.518987003056405882e+00
2.023589647725156482e+00,1.875788661949727487e+00,6.796593800499417171e+01,1.960267041591074566e+00,-1.143983363503096662e+01
2.442053094548651160e+00,2.194316246732414211e+00,6.396862555241024495e+01,1.942905132778499633e+00,-1.372333870779238829e+01
2.947051702551809704e+00,2.538859983059279735e+00,5.948446281515673917e+01,1.918425610728263342e+00,-1.642051786050381423e+01
3.556480306223128718e+00,2.898119391550313839e+00,5.457590740921633454e+01,1.884374369602917154e+00,-1.957782947339325474e+01
4.291934260128775769e+00,3.256676773521371526e+00,4.935764228302790002e+01,1.837875905720641301e+00,-2.322869155237363614e+01
5.179474679231209855e+00,3.597309955074140309e+00,4.398992073210594356e+01,1.775923310788002141e+00,-2.738178347787068390e+01
6.250551925273970078e+00,3.904478586586398681e+00,3.865734025127299134e+01,1.695954537453214561e+00,-3.200765716435351038e+01
7.543120063354614935e+00,4.167567340254442421e+00,3.353863385548502407e+01,1.596689164272180106e+00,-3.702768890470816388e+01
9.102981779915218397e+00,4.382428697668297346e+00,2.877869694763909791e+01,1.478991093598648554e+00,-4.231153838773359865e+01
1.098541141987558412e+01,4.550796982487164577e+00,2.447261175790505661e+01,1.346322897768537974e+00,-4.768846161226640845e+01
1.325711365590108137e+01,4.678321434692364278e+00,2.066426855023794928e+01,1.204401806996240332e+00,-5.297231109529180770e+01
1.599858719606057278e+01,4.772362394184042955e+00,1.735546510272575205e+01,1.060065189925532003e+00,-5.799234283564646830e+01
1.930697728883249553e+01,4.840320055878814642e+00,1.451912497053242390e+01,9.198349820482919492e-01,-6.261821652212930900e+01
2.329951810515371946e+01,4.888700361888390411e+00,1.211179261140049768e+01,7.888042565627627623e-01,-6.677130844762635320e+01
2.811768697974228104e+01,4.922773308478736176e+00,1.008316601945881175e+01,6.701740335044402697e-01,-7.042217052660673460e+01
3.393221771895326100e+01,4.946586302222804932e+00,8.382360433318382320e+00,5.653699462315729951e-01,-7.357948213949616445e+01
4.094915062380422910e+01,4.963139017860786595e+00,6.961506762959918326e+00,4.744677491916194367e-01,-7.627666129220760638e+01
4.941713361323833453e+01,4.974601623210519463e+00,5.777495554337993333e+00,3.966776092140518739e-01,-7.856016636496903516e+01
5.963623316594642887e+01,4.982518555174960007e+00,4.792563833545158580e+00,3.307488755097082733e-01,-8.048101299694359057e+01
7.196856730011514003e+01,4.987976646967739569e+00,3.974225393472162526e+00,2.752546345176677955e-01,-8.208942750762450657e+01
8.685113737513520960e+01,4.991734843073578176e+00,3.294868021474703035e+00,2.287676730740078879e-01,-8.343191302967089484e+01
1.048113134154685184e+02,4.994320328665822650e+00,2.731211610744159746e+00,1.899564688036636528e-01,-8.454993292900299195e+01
1.264855216855295765e+02,4.996097977538039636e+00,2.263735900879674912e+00,1.576289975134855248e-01,-8.547957365269995478e+01
1.526417967175231922e+02,4.997319697834789132e+00,1.876134238816613786e+00,1.307454363715319368e-01,-8.625174616141903527e+01
1.842069969326714443e+02,4.998159109848184123e+00,1.554819185712629004e+00,1.084138756632927469e-01,-8.689264820339414541e+01
2.222996482526193347e+02,4.998735736140815789e+00,1.288488780036971981e+00,8.987776148427469025e-02,-8.742432437008896784e+01
2.682695795279724393e+02,4.999131791504182409e+00,1.067753314483354865e+00,7.450013357350789012e-02,-8.786523450378084021e+01
3.237457542817643343e+02,4.999403796981648718e+00,8.848181626611386630e-01,6.174742248403649464e-02,-8.823078550688796895e+01
3.906939937054613097e+02,4.999590594941203392e+00,7.332164396566087650e-01,5.117419835918576854e-02,-8.853380719135449795e+01
4.714866363457389866e+02,4.999718871669908360e+00,6.075848963468836184e-01,4.240948002138483081e-02,-8.878496682532383488e+01
5.689866029018293148e+02,4.999806958455306649e+00,5.034767468603781326e-01,3.514478507895761605e-02,-8.899312424831703083e+01
6.866488450042998011e+02,4.999867445840872726e+00,4.172057324693116964e-01,2.912388119768800215e-02,-8.916563277244991070e+01
8.286427728546842673e+02,4.999908980705570549e+00,3.457164296245092694e-01,2.413409549410452590e-02,-8.930859231248689412e+01
1.000000000000000000e+03,4.999937501171850762e+00,2.864765102770744920e-01,1.999900007499374674e-02,-8.942706130231653106e+01
